"";"attr_importance"
"bad";0,0447081098536615
"wast";0,0345836371032098
"and";0,0322383939173871
"worst";0,0292580900086739
"stupid";0,0277118425860177
"bore";0,0226210951161705
"life";0,0192866652496586
"perfect";0,0182875184941538
"ridicul";0,0161482486704525
"portray";0,0158733436222056
"suppos";0,0153677732603394
"outstand";0,0147756648074736
"lame";0,0138832903007223
"poor";0,0135017073828738
"best";0,0128692434278066
"terribl";0,0125551467438121
"mess";0,0124830418667903
"his";0,0124063968183846
"dull";0,0122542157399518
"the";0,0120028670008316
"memor";0,0119736031953629
"terrif";0,0113848069453583
"excel";0,011278700357391
"also";0,0111412081554267
"great";0,0111172873402923
"most";0,0107233204228658
"perform";0,0106694037817137
"both";0,0105558006716429
"subtl";0,0103615787571572
"plot";0,0101928443817507
"own";0,0101843299609125
"laughabl";0,00978612057049055
"brilliant";0,00977515278980357
"with";0,00963970345912002
"idiot";0,00961155520599133
"true";0,00940450924478275
"ludicr";0,00933204461919335
"script";0,00926685736835853
"finest";0,00910318838064661
"world";0,00894126673152429
"pointless";0,00878061336258995
"beauti";0,00868426254770438
"noth";0,00856420413943981
"unfunni";0,00849325999284212
"hilari";0,0083647365879671
"insult";0,00831487083305738
"oscar";0,0082835478586526
"embarrass";0,00804004246328582
"love";0,00801016054286974
"differ";0,00796526999103575
"whi";0,00791246111816246
"color";0,00789562448764081
"era";0,00785163406638056
"american";0,00783856744724543
"superb";0,00783010603097867
"mani";0,00781646693028915
"wors";0,00780527329359182
"veri";0,00777312519660978
"touch";0,00771423217448053
"period";0,00767832419783021
"inept";0,00765217036025034
"strong";0,00764802564843792
"fascin";0,0075025161254112
"mayb";0,00745492777309908
"attempt";0,00744678766658669
"delight";0,00738176005229574
"least";0,00724845489812265
"solid";0,0072270438541463
"breathtak";0,00718440972781431
"fail";0,00717953099359003
"bland";0,00716526372162052
"guess";0,00710220598302946
"view";0,00709510371884337
"although";0,00704124961707719
"especi";0,00701828901446788
"realist";0,00700529110192649
"natur";0,00698410379072767
"refresh";0,00698212221355465
"famili";0,00685083412964715
"anger";0,00681368172663976
"none";0,00668972695356085
"fantast";0,00653537042825914
"war";0,00646302854291836
"power";0,00644241958560454
"nonsens";0,00644234078720562
"often";0,00643407280950359
"flaw";0,00641522621451851
"sometim";0,00641158055276492
"overal";0,00637593404657666
"from";0,00633993701576174
"polit";0,00633689125619008
"detail";0,00630642842588114
"complex";0,00619367186367803
"intens";0,00619367186367803
"balanc";0,00618017986797648
"unfortun";0,00617996273719879
"visual";0,00606928426503872
"cultur";0,00597024344152486
"damon";0,00592818617596835
"movi";0,00574257621472607
"histori";0,00573483851065459
"ideal";0,00570618381679044
"alway";0,00569059855243348
"wonder";0,00561075823983648
"magnific";0,00558945619782469
"turkey";0,00558945619782469
"stori";0,00557344041858943
"deserv";0,00552109993927341
"support";0,00550951461703231
"minut";0,00550698171204589
"uninterest";0,00544046182754443
"clich";0,00543712247618311
"dumb";0,00542368901313417
"cameron";0,00531348707626556
"plod";0,00531348707626556
"more";0,00530975620186469
"dark";0,00529511745330802
"mindnumb";0,0052269416553864
