"";"attr_importance"
"bad";0,0564782350416806
"wast";0,0364102747177104
"worst";0,0321386283980116
"stupid";0,0303184244396213
"bore";0,0257268830387776
"and";0,0253919124736817
"suppos";0,021233315446744
"poor";0,0183291494394153
"perfect";0,0182875184941538
"ridicul";0,0171304550996295
"dull";0,0166543862891523
"portray";0,0160053295609057
"plot";0,0159279458176818
"have";0,0155721002042908
"lame";0,0155249558445856
"noth";0,0147803672558675
"outstand";0,0147756648074736
"whi";0,0143420223103217
"life";0,0141150815568536
"terribl";0,0129414873161455
"mess";0,0128190143740206
"memor";0,0121677314604689
"ani";0,0121280565702671
"terrif";0,0118946584792864
"even";0,0118116685521449
"laughabl";0,0116606373602339
"least";0,011593720869834
"excel";0,0114798139387443
"script";0,0112732777909774
"attempt";0,0112488085622127
"perform";0,0110551223382487
"fail";0,0107413113504935
"onli";0,0106987550001756
"idiot";0,0106343332124289
"both";0,0105558006716429
"unfortun";0,0104425572158484
"brilliant";0,0104004508520387
"subtl";0,0103615787571572
"better";0,0103581438846636
"movi";0,0100584127380374
"unfunni";0,0100275811217525
"ludicr";0,00995778376509115
"pointless";0,00994806605039389
"great";0,0099381000562011
"there";0,00990316847477102
"embarrass";0,00981061176853593
"minut";0,00976364581878286
"his";0,00967692722332036
"also";0,00960026017086468
"clich";0,00958650614392365
"wors";0,00947075139840248
"true";0,00940450924478275
"none";0,00933408370756228
"insult";0,00927021797169425
"mayb";0,00917929106681314
"finest";0,00910318838064661
"anyway";0,00901257052565474
"should";0,00899386795353507
"dont";0,00894729081321621
"world";0,00894126673152429
"look";0,00875378028972218
"guess";0,00870909838749023
"beauti";0,00868426254770438
"inept";0,00868271072128912
"superb";0,00841927623167293
"hilari";0,0083647365879671
"oscar";0,0082835478586526
"color";0,0081972211888115
"touch";0,00813766959026507
"somewher";0,00806510117585635
"mani";0,00800932580089087
"this";0,00797665911689416
"flat";0,00797446403774116
"bland";0,00796907289263915
"differ";0,00796526999103575
"kill";0,00793529124672987
"best";0,00791839685370777
"american";0,00787599352576462
"got";0,0078685472763691
"reason";0,00785424323855333
"era";0,00785163406638056
"fascin";0,00783881090494265
"delight";0,00781605632385818
"potenti";0,00771094946942996
"strong";0,00770536568774438
"theyr";0,00769920739996754
"uninspir";0,00768579314939133
"period";0,00767832419783021
"solid";0,00750766960620797
"just";0,00749185190209745
"natur";0,00745492777309908
"realist";0,00738632420988383
"breathtak";0,00718440972781431
"here";0,00710865319498932
"horribl";0,0071068661362812
"view";0,00709510371884337
"especi";0,00701828901446788
"veri";0,00698624889149668
"refresh";0,00698212221355465
"famili";0,00685083412964715
"anger";0,00681368172663976
"wasnt";0,00681102237766329
"tedious";0,00680904659916592
"annoy";0,00679542923028642
"could";0,00675440843302333
"overal";0,00673999150784432
"then";0,00673418042049057
"flaw";0,00672123082860332
"isnt";0,00664351879964697
"sometim";0,00663099836678649
"fantast";0,00660270765254323
"either";0,00657346209689247
"talent";0,00656422117722721
"thriller";0,00649106606066585
"project";0,00647392884773779
"war";0,00646302854291836
"power";0,00644241958560454
"nonsens";0,00644234078720562
"save";0,00641350352799019
"get";0,0063402116179625
"detail";0,00630642842588114
"magnific";0,00629747123981206
"stereotyp";0,00628212567595599
"climb";0,00627919299713264
"tri";0,00626151110748574
"didnt";0,00625136123577374
"inan";0,00619816489396685
"redeem";0,00619816489396685
"turkey";0,00619816489396685
"complex";0,00619367186367803
"intens";0,00619367186367803
"balanc";0,00619116791978447
"crap";0,00618017986797648
"cameron";0,00617462367536226
"idea";0,00616343437387079
"visual";0,00606928426503872
"unintent";0,00605856578093289
"dumb";0,00602667283108671
"els";0,00601319858536575
"been";0,00599876579687009
"incompet";0,00597024344152486
"themat";0,00597024344152486
"joke";0,00594218004285962
"eve";0,00592818617596835
"joy";0,00592818617596835
"lifeless";0,00592818617596835
"plod";0,00592818617596835
"uninterest";0,00592601934931669
"dialogu";0,00588535697577863
"histori";0,00580013740837615
"problem";0,00578235184074272
"contrast";0,00577153620331816
"ideal";0,00570618381679044
"chuckl";0,00567513028796296
"miscast";0,00564119457408885
"deserv";0,00552109993927341
"promis";0,00551984777715875
"support";0,00550951461703231
"theme";0,00550744190901875
"off";0,005504711301479
"cant";0,00544697929759552
"bunch";0,00542558376127422
"ten";0,00537575610698837
"strength";0,00537242678517169
"damon";0,00531348707626556
"garbag";0,00530975620186469
"random";0,00530975620186469
"symbol";0,00530650483938599
"excruci";0,0052269416553864
"mindnumb";0,0052269416553864
"thought";0,0052269416553864
"polit";0,00498722902655446
"seagal";0,00498722902655446
"enough";0,00487670317723099
"stink";0,00487670317723099
